,Asset Id,Address,Latitude,Longitude,proposed_MoO
0,2135,SW 8 St / SW 74 Av / SW 75 Av,25.76268,-80.31682,SCOOT
1,2633,Ludlam Rd & SW 8 St,25.7631,-80.303894,SCOOT
2,2634,SW 74 Av & SW 8 St,25.762716,-80.31573,SCOOT
3,2954,Killian Dr & US - 1,25.6664,-80.32362,SCOOT
4,2955,Coral Reef Dr & US - 1,25.628906,-80.341095,SCOOT
5,2956,Richmond Dr & US - 1 NB,25.613966,-80.34657,SCOOT
6,3090,US - 1 & SW 124 St,25.655155,-80.328896,SCOOT
7,3147,US - 1 & SW 104 St,25.673864,-80.32018,SCOOT
8,3236,Colonial Dr & US - 1,25.619127,-80.3456,SCOOT
9,3362,Galloway Rd & SW 8 St,25.76199,-80.336174,SCOOT
10,3531,Howard Dr & US - 1,25.64385,-80.33411,SCOOT
11,3651,US - 1 & SW 132 St,25.64688,-80.33272,SCOOT
12,3656,Mitchell Dr & US - 1,25.636332,-80.33762,SCOOT
13,3709,SW 107 Av & SW 8 St,25.761301,-80.36841,SCOOT
14,3730,SW 122 Av & SW 8 St,25.76093,-80.39277,SCOOT
15,3743,SW 97 Av & SW 8 St,25.76166,-80.35238,SCOOT
16,3879,SW 112 Av & SW 8 St,25.761162,-80.376205,SCOOT
17,3238,I - 95 SB & Miami Gardens Dr & NE 6 Av,25.941452,-80.18867,SCOOT
18,3891,US - 1 @ SW 15900 Blk,25.620966,-80.34478,SCOOT
19,4238,SR - 821 NB & SW 8 St,25.761038,-80.382195,SCOOT
20,4239,SR - 821 SB & SW 8 St,25.760992,-80.38735,SCOOT
21,4278,US - 1 & SW 128 St,25.651373,-80.330635,SCOOT
22,4510,SW 102 Av & SW 8 St,25.76155,-80.360405,SCOOT
23,4530,US - 1 @ SW 14601 Blk,25.634031,-80.338684,SCOOT
24,4563,SW 94 Av & SW 8 St,25.76177,-80.34824,SCOOT
25,4565,SW 82 Av & SW 8 St,25.76218,-80.327934,SCOOT
26,4758,SW 132 Av & SW 8 St,25.760908,-80.40983,SCOOT
27,4869,SW 137 Av & SW 8 St,25.760927,-80.41682,SCOOT
28,4974,SW 117 Av & SW 8 ST,25.761103,-80.37838,SCOOT
29,5130,SW 127 Av & SW 8 St,25.760935,-80.40077,SCOOT
30,5145,SW 122 Av & SW 6 St,25.762415,-80.392815,SCOOT
31,5164,SW 92 Av & SW 8 St,25.761843,-80.34416,SCOOT
32,5406,SW 127 Av & SW 6 St,25.762161,-80.400826,SCOOT
33,5424,SR - 826 NB & SW 8 St,25.762472,-80.31996,SCOOT
34,5425,SR - 826 SB & SW 8 St,25.762291,-80.32287,SCOOT
35,5430,SW 109 Av & SW 8 St,25.761232,-80.37239,SCOOT
36,5741,SW 72 Av & SW 8 St,25.76283,-80.31186,SCOOT
37,5984,SW 129 Pl & SW 8 St,25.760918,-80.40604,SCOOT
38,5988,SW 132 Av & SW 6 St,25.761736,-80.409836,NO SCOOT
39,5999,Ludlam Rd & SW 10 St,25.761274,-80.303856,SCOOT
40,6583,SW 152 Av & SW 8 St,25.76091,-80.44092,NO SCOOT
41,6863,SW 142 Av & SW 8 St,25.76088,-80.42485,SCOOT
42,6894,US - 1 & SW 120 St,25.65899,-80.32708,SCOOT
43,6944,SW 70 Av & SW 8 St,25.76295,-80.30856,SCOOT
44,2622,Riviera Dr & US - 1,25.723427,-80.26579,SCOOT
45,2623,Granada Blvd & US - 1,25.719387,-80.27088,SCOOT
46,2624,Agusto St & US - 1 & Stanford Dr,25.717075,-80.27376,SCOOT
47,2953,Kendall Dr & US - 1,25.68887,-80.308365,SCOOT
48,2998,Red Rd & US - 1,25.70751,-80.285515,SCOOT
49,2999,US - 1 & SW 62 Av,25.70133,-80.293304,SCOOT
50,3002,Sunset Dr & US - 1,25.704275,-80.28971,SCOOT
51,3003,Sunset Dr & SW 62 Av,25.704138,-80.2934,SCOOT
52,3303,Red Rd & Sunset Dr,25.704445,-80.2854,SCOOT
53,3626,US - 1 & SW 80 St,25.696491,-80.29913,SCOOT
54,3650,Ludlam Rd & US - 1,25.694809,-80.301094,SCOOT
55,3669,Alhambra Cir S & US - 1,25.712034,-80.27993,SCOOT
56,3735,Mariposa Ct & US - 1,25.715052,-80.276245,SCOOT
