Asset Id,Address,Polygon,Zone,Section,Mode of operation,Controller Type,State/County,systemControl,constructionStatus,municipality,Latitude,Longitude,Ramp_Indicator
2135,SW 8 St / SW 74 Av / SW 75 Av,44,5,0,SCOOT,D170,State,ATMS,Existing,Miami,25.76268,-80.31682,1
2633,Ludlam Rd & SW 8 St,44,5,0,SCOOT,D170,State,ATMS,Existing,Miami,25.7631,-80.303894,0
2634,SW 74 Av & SW 8 St,44,5,0,SCOOT,D170,State,ATMS,Existing,Miami,25.762716,-80.31573,0
2954,Killian Dr & US - 1,63,9,0,SCOOT,2070 LX,State,Centracs,Reconstruction,Pinecrest,25.6664,-80.32362,0
2955,Coral Reef Dr & US - 1,63,9,0,SCOOT,2070 LX,State,Centracs,Existing,Palmetto Bay,25.628906,-80.341095,0
2956,Richmond Dr & US - 1 NB,63,9,0,SCOOT,2070 LX,State,Centracs,Reconstruction,Palmetto Bay,25.613966,-80.34657,0
3090,US - 1 & SW 124 St,63,9,0,SCOOT,2070 LX,State,Centracs,Reconstruction,Pinecrest,25.655155,-80.328896,0
3147,US - 1 & SW 104 St,63,9,0,SCOOT,2070 LX,State,Centracs,Reconstruction,Pinecrest,25.673864,-80.32018,0
3236,Colonial Dr & US - 1,63,9,0,SCOOT,2070 LX,State,Centracs,Existing,Palmetto Bay,25.619127,-80.3456,0
3362,Galloway Rd & SW 8 St,44,5,0,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.76199,-80.336174,0
3531,Howard Dr & US - 1,63,9,0,SCOOT,2070 LX,State,Centracs,Existing,Palmetto Bay,25.64385,-80.33411,0
3651,US - 1 & SW 132 St,63,9,0,SCOOT,2070 LX,State,Centracs,Existing,Pinecrest,25.64688,-80.33272,0
3656,Mitchell Dr & US - 1,63,9,0,SCOOT,2070 LX,State,Centracs,Existing,Palmetto Bay,25.636332,-80.33762,0
3709,SW 107 Av & SW 8 St,44,5,0,SCOOT,D170,State,ATMS,Reconstruction,Unincorporated Miami-Dade,25.761301,-80.36841,0
3730,SW 122 Av & SW 8 St,44,5,0,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.76093,-80.39277,0
3743,SW 97 Av & SW 8 St,44,5,0,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.76166,-80.35238,0
3879,SW 112 Av & SW 8 St,44,5,0,SCOOT,D170,State,ATMS,Reconstruction,Unincorporated Miami-Dade,25.761162,-80.376205,0
3238,I - 95 SB & Miami Gardens Dr & NE 6 Av,11,1,88,SCOOT,D170,State,ATMS,Existing,North Miami Beach,25.941452,-80.18867,1
3891,US - 1 @ SW 15900 Blk,63,9,0,SCOOT,2070 LX,State,Centracs,Existing,Palmetto Bay,25.620966,-80.34478,0
4238,SR - 821 NB & SW 8 St,44,5,0,SCOOT,D170,State,ATMS,Reconstruction,Unincorporated Miami-Dade,25.761038,-80.382195,1
4239,SR - 821 SB & SW 8 St,44,5,0,SCOOT,D170,State,ATMS,Reconstruction,Unincorporated Miami-Dade,25.760992,-80.38735,1
4278,US - 1 & SW 128 St,63,9,0,SCOOT,2070 LX,State,Centracs,Reconstruction,Pinecrest,25.651373,-80.330635,0
4510,SW 102 Av & SW 8 St,44,5,0,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.76155,-80.360405,0
4530,US - 1 @ SW 14601 Blk,63,9,0,SCOOT,2070 LX,State,Centracs,Existing,Palmetto Bay,25.634031,-80.338684,0
4563,SW 94 Av & SW 8 St,44,5,0,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.76177,-80.34824,0
4565,SW 82 Av & SW 8 St,44,5,0,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.76218,-80.327934,0
4758,SW 132 Av & SW 8 St,44,5,0,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.760908,-80.40983,0
4869,SW 137 Av & SW 8 St,44,5,0,SCOOT,D170,State,ATMS,Reconstruction,Unincorporated Miami-Dade,25.760927,-80.41682,0
4974,SW 117 Av & SW 8 ST,44,5,0,SCOOT,D170,State,ATMS,Reconstruction,Unincorporated Miami-Dade,25.761103,-80.37838,0
5130,SW 127 Av & SW 8 St,44,5,0,SCOOT,D170,County,ATMS,Existing,Unincorporated Miami-Dade,25.760935,-80.40077,0
5145,SW 122 Av & SW 6 St,44,5,0,SCOOT,D170,County,ATMS,Existing,Unincorporated Miami-Dade,25.762415,-80.392815,0
5164,SW 92 Av & SW 8 St,44,5,0,SCOOT,D170,County,ATMS,Existing,Unincorporated Miami-Dade,25.761843,-80.34416,0
5406,SW 127 Av & SW 6 St,44,5,0,SCOOT,D170,County,ATMS,Existing,Unincorporated Miami-Dade,25.762161,-80.400826,0
5424,SR - 826 NB & SW 8 St,44,5,0,SCOOT,,County,ATMS,Existing,Unincorporated Miami-Dade,25.762472,-80.31996,1
5425,SR - 826 SB & SW 8 St,44,5,0,SCOOT,,County,ATMS,Existing,Unincorporated Miami-Dade,25.762291,-80.32287,1
5430,SW 109 Av & SW 8 St,44,5,0,SCOOT,D170,County,ATMS,Existing,Unincorporated Miami-Dade,25.761232,-80.37239,0
