ASSET ID,DESCRIPTION,CONTROL SECTION,MUNICIPALITY,INTERSECTION TYPE,Intersection Type,x,y
2800,2800 Washington Av & 11 St,9,Miami Beach,SCOOT,SCOOT,-8920314.767720051,2972099.036736908
2801,2801 Washington Av & 12 St,9,Miami Beach,SCOOT,SCOOT,-8920288.810241187,2972224.1168131307
2802,2802 Washington Av & 13 St,9,Miami Beach,SCOOT,SCOOT,-8920267.24542943,2972375.650623422
2803,2803 Washington Av & 14 St,9,Miami Beach,SCOOT,SCOOT,-8920247.948195701,2972529.518885092
2804,2804 Espanola Way & Washington Av,9,Miami Beach,SCOOT,SCOOT,-8920225.881333042,2972715.598285264
2805,2805 Washington Av & 15 St,9,Miami Beach,SCOOT,SCOOT,-8920227.65019975,2972794.0336488415
2806,2806 Washington Av & 16 St,9,Miami Beach,SCOOT,SCOOT,-8920233.287418764,2972985.571101112
2807,2807 Lincoln Rd & Washington Av,9,Miami Beach,SCOOT,SCOOT,-8920240.05898339,2973178.2039874787
2808,2808 Washington Av & 17 St,9,Miami Beach,SCOOT,SCOOT,-8920244.5384797,2973375.308862745
2809,2809 Washington Av & 20 St,9,Miami Beach,SCOOT,SCOOT,-8920263.229022203,2973910.76097917
2810,2810 Dade Blvd & Washington Av,82,Miami Beach,SCOOT,SCOOT,-8920275.48975092,2974124.213854045
2812,2812 West Av & 15 St,8,Miami Beach,SCOOT,SCOOT,-8921404.68349607,2972760.6519281478
2816,2816 77 St / Tatum Wtrwy Dr / Dickens Av,186,Miami Beach,Fully Actuated,ATSPM,-8919645.742033161,2982000.861238941
2825,2825 LeJeune Rd / E 34 St / E 35 St,283,Hialeah,Fully Actuated,SUNRISE,-8935228.464766996,2980955.690827837
2826,2826 LeJeune Rd / E 6 Pl / E 7 St,5,Hialeah,Traffic Responsive,SUNRISE,-8935104.661908505,2977845.3920456073
2827,2827 LeJeune Rd / E 11 Pl / E 12 St,5,Hialeah,Traffic Responsive,SUNRISE,-8935130.027167678,2978413.8851445885
2828,2828 E 4 Av / E 33 St / E 34 St,229,Hialeah,Fully Actuated,SUNRISE,-8936135.559430089,2980863.8632947635
2831,2831 Palm Av / 45 St / 45 Pl,110,Hialeah,Fully Actuated,SUNRISE,-8937053.895135364,2982168.978237222
2832,2832 Palm Av / 63 St / 64 St,98,Hialeah,Fully Actuated,SUNRISE,-8937117.065606805,2984201.8542606696
2836,2836 Ludlam Rd / W 58 St / W 59 Pl,275,Hialeah,Fully Actuated,SUNRISE,-8939757.163178254,2983733.482152246
2838,2838 E 41 St / E 6 Av / E 7 Av,229,Hialeah,Fully Actuated,SUNRISE,-8935511.775097456,2981743.3736684225
2840,2840 W 29 St / W 10 Av / W 11 Av,239,Hialeah,Fully Actuated,SUNRISE,-8939288.735213777,2980266.6507988623
2843,2843 LeJeune Rd & Okeechobee Rd,11,Miami Springs,SCOOT,SCOOT,-8935023.379755912,2975676.8847319256
2844,2844 Okeechobee Rd & E 4 Av,61,Hialeah,SCOOT,SCOOT,-8935960.05646049,2976450.804308195
2845,2845 Okeechobee Rd & E 1 Av,61,Hialeah,SCOOT,SCOOT,-8936668.768659042,2977053.504066705
2846,2846 Okeechobee Rd & Palm Av,61,Hialeah,SCOOT,SCOOT,-8936894.210665405,2977234.5346339913
2847,2847 Hialeah Dr & Okeechobee Rd,61,Hialeah,SCOOT,SCOOT,-8936766.737603303,2977132.7677352694
2849,2849 LeJeune Rd & SE 8 St,5,Hialeah,Traffic Responsive,SUNRISE,-8935046.411758559,2976281.7364957025
2850,2850 Hialeah Dr & E 1 Av,61,Hialeah,SCOOT,SCOOT,-8936655.119776275,2977142.3668625234
2851,2851 Hialeah Dr & E 2 Av,113,Hialeah,SCOOT,SCOOT,-8936431.403222017,2977148.618294441
2852,2852 Hialeah Dr & E 4 Av,113,Hialeah,Fully Actuated,SUNRISE,-8935983.301083364,2977159.468956293
2853,2853 Hialeah Dr & E 6 Av,113,Hialeah,Fully Actuated,SUNRISE,-8935531.760285636,2977180.281126999
2854,2854 Hialeah Dr & LeJeune Rd,5,Hialeah,Traffic Responsive,SUNRISE,-8935078.573072642,2977192.5230849483
2856,2856 E 1 Av & E 3 St,230,Hialeah,SCOOT,SCOOT,-8936659.330992611,2977363.2338586464
2857,2857 E 4 Av & E 4 St,113,Hialeah,Fully Actuated,SUNRISE,-8935996.64161114,2977503.0275266115
2858,2858 Palm Av & 5 St,112,Hialeah,Fully Actuated,SUNRISE,-8936892.634381417,2977586.1509581753
2859,2859 E 1 Av & E 9 St,112,Hialeah,Fully Actuated,SUNRISE,-8936687.479239054,2978035.2987203673
2860,2860 E 4 Av & E 9 St,112,Hialeah,Fully Actuated,SUNRISE,-8936014.216732346,2978061.518014192
2861,2861 E 6 Av & E 9 St,112,Hialeah,Fully Actuated,SUNRISE,-8935567.055243388,2978080.826327951
2862,2862 LeJeune Rd & E 9 St,5,Hialeah,Traffic Responsive,SUNRISE,-8935114.780850219,2978106.5769697353
2863,2863 E 10 Av & E 9 St,117,Hialeah,Fully Actuated,SUNRISE,-8934660.540554842,2978120.585802914
2864,2864 Palm Av & 9 St,112,Hialeah,Fully Actuated,SUNRISE,-8936907.82058635,2978029.9386120248
2866,2866 E 4 Av & E 21 St,111,Hialeah,Traffic Responsive,SUNRISE,-8936061.970567506,2979410.565294247
2867,2867 Palm Av & 21 St,111,Hialeah,Traffic Responsive,SUNRISE,-8936957.002650578,2979380.3509611804
2868,2868 E 4 Av & E 25 St,111,Hialeah,Traffic Responsive,SUNRISE,-8936086.584420115,2979858.925474707
2869,2869 LeJeune Rd & E 25 St,5,Hialeah,Traffic Responsive,SUNRISE,-8935190.310011527,2979924.4510428454
2870,2870 E 10 Av & E 25 St,115,Hialeah,Traffic Responsive,SUNRISE,-8934741.407485733,2979942.257720813
2872,2872 Red Rd & W 29 St,39,Hialeah,Fully Actuated,SUNRISE,-8937859.281632498,2980268.957704503
2873,2873 E 4 Av & E 32 St,229,Hialeah,Fully Actuated,SUNRISE,-8936130.412016835,2980691.804191186
2874,2874 Palm Av & 32 St,110,Hialeah,Fully Actuated,SUNRISE,-8937002.515624387,2980659.7354530185
2875,2875 E 4 Av & E 41 St,229,Hialeah,Fully Actuated,SUNRISE,-8936134.23695454,2981721.1880445913
2876,2876 LeJeune Rd & E 41 St,283,Hialeah,Fully Actuated,SUNRISE,-8935241.453525182,2981747.302608102
2877,2877 Palm Av & 41 St,110,Hialeah,Fully Actuated,SUNRISE,-8937037.877373833,2981690.1203105454
2878,2878 E 4 Av & E 49 St,138,Hialeah,Fully Actuated,SUNRISE,-8936130.906275373,2982635.5979012004
2879,2879 LeJeune Rd & E 49 St,138,Hialeah,Fully Actuated,SUNRISE,-8935258.070185572,2982656.273116712
2880,2880 E 10 Av & E 49 St,138,Hialeah,Fully Actuated,SUNRISE,-8934833.837172134,2982666.968271682
2881,2881 Palm Av & 49 St,138,Hialeah,Fully Actuated,SUNRISE,-8937068.452385174,2982605.2903050776
2882,2882 Red Rd & W 49 St,53,Hialeah,Fully Actuated,SUNRISE,-8937928.123831995,2982576.9040532573
2883,2883 Douglas Rd & NW 54 St,118,Hialeah,Fully Actuated,SUNRISE,-8934171.11105523,2977229.8859155443
2884,2884 Red Rd & W 65 St,40,Hialeah,Fully Actuated,SUNRISE,-8937972.296519138,2984374.6574625624
2885,2885 Galloway Rd & Sunset Dr,156,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8942755.290948773,2962256.665076492
2886,2886 Killian Dr & SW 77 Av,167,Pinecrest,Fully Actuated,SUNRISE,-8941025.303685421,2957843.5008047996
2887,2887 Red Rd & Sevilla Av,150,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8937515.991247207,2967496.042761597
2888,2888 NW 22 Av / NW 152 Ter / NW 153 St,42,Miami Gardens,Fully Actuated,SUNRISE,-8931843.869120292,2988406.484270126
2897,2897 Milam Dairy Rd & NW 25 St,209,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8940394.04647537,2973962.8584364266
2900,2900 Sheridan Dr & NW 36 St,11,Unincorporated Miami-Dade,SCOOT,SCOOT,-8935345.243365617,2975357.2117845532
2901,2901 South Dr & NW 36 St,6,Unincorporated Miami-Dade,SCOOT,SCOOT,-8936698.263871321,2975309.416195543
